time,lat,lon,h,x,y,z,speed,accel_x,accel_y,accel_z,roll,pitch,yaw,heading
39.393838,37.63196449,126.9711773,50.99769715,-304.51,6218.5,30.95,9.58,5.330555556,0.165037037,0.257296296,-0.052439,0.058049,-0.491999,290.02
39.634839,37.63196737,126.9711931,50.99794347,-303.11,6218.82,30.95,9.5,5.264074074,-4.080037037,0.114,-0.079428,0.038726,-0.977051,283.83
39.874866,37.63196782,126.9712087,51.01792701,-301.73,6218.87,30.97,9.25,0.184285714,0.520571429,-1.1195,-0.009365,-0.011767,-1.365786,273.09
40.115376,37.63196584,126.9712242,51.02764775,-300.37,6218.65,30.98,9.47,-0.88737037,4.83262963,1.391925926,-0.009594,-0.110646,-1.363358,260.89
40.354406,37.63196169,126.9712402,51.02713131,-298.95,6218.19,30.98,10.53,-1.523892857,8.203714286,0.144392857,0.00187,-0.045676,-1.078556,250.42
40.594406,37.6319553,126.9712571,51.03636751,-297.46,6217.48,30.99,11.43,-1.532964286,4.779714286,0.231678571,-0.020361,-0.048119,-0.775219,242.7
40.834406,37.63194701,126.9712743,51.04539747,-295.94,6216.56,31,12.06,-0.914777778,3.913185185,-0.18962963,-0.008335,-0.006776,-0.517214,237.33
41.74406,37.63193737,126.9712919,51.05427992,-294.39,6215.49,31.01,12.62,-0.153448276,3.603068966,0.227758621,-0.003207,-0.016577,-0.329008,233.83
41.314407,37.63192665,126.9713096,51.06304521,-292.83,6214.3,31.02,13.15,0.153285714,3.556357143,0.031107143,-0.009403,-0.014079,-0.223069,231.54
41.555406,37.63191494,126.9713275,51.06170272,-291.25,6213,31.02,13.67,0.099758621,3.378931034,-0.025827586,-0.005345,-0.006967,-0.173556,229.87
